=== Kernel Computation Profiling (All Functions) ===

 Count  Overhead File                    Line Function
     3         0 …ler/ssair/inlining.jl  1083 call_sig(ir::Core.Compiler.IRCode…
     2         0 …ler/ssair/inlining.jl  1088 call_sig(ir::Core.Compiler.IRCode…
     1         0 …ler/ssair/inlining.jl   129 cfg_inline_item!(ir::Core.Compile…
     1         0 …ler/ssair/inlining.jl   150 cfg_inline_item!(ir::Core.Compile…
     1         0 …ler/ssair/inlining.jl   161 cfg_inline_item!(ir::Core.Compile…
     1         0 …ler/ssair/inlining.jl   162 cfg_inline_item!(ir::Core.Compile…
     6         0 …ler/ssair/inlining.jl  1233 check_effect_free!
     6         0 …ler/ssair/inlining.jl  1236 check_effect_free!
     1         0 …ler/ssair/inlining.jl  1356 compute_inlining_cases(info::Core…
     1         0 …ler/ssair/inlining.jl  1389 compute_inlining_cases(info::Core…
     5         0 …ler/ssair/inlining.jl  1390 compute_inlining_cases(info::Core…
    90         0 …ler/ssair/inlining.jl  1404 compute_inlining_cases(info::Core…
     1         0 …ler/ssair/inlining.jl   491 fix_va_argexprs!(insert_node!::Co…
     1         0 …ler/ssair/inlining.jl   493 fix_va_argexprs!(insert_node!::Co…
    90         0 …ler/ssair/inlining.jl  1312 handle_any_const_result!
    99         0 …ler/ssair/inlining.jl  1450 handle_call!
     2         0 …ler/ssair/inlining.jl  1453 handle_call!
     1         0 …ler/ssair/inlining.jl  1542 handle_cases!(todo::Vector{Pair{I…
    27         0 …ler/ssair/inlining.jl  1473 handle_const_prop_result!
    58         0 …ler/ssair/inlining.jl  1457 handle_match!
     5         0 …ler/ssair/inlining.jl  1501 handle_semi_concrete_result!
     1         0 …ler/ssair/inlining.jl  1008 handle_single_case!
     1         0 …ler/ssair/inlining.jl  1020 handle_single_case!(todo::Vector{…
     1         1 …ler/ssair/inlining.jl  1334 info_effects
     3         0 …ler/ssair/inlining.jl  1341 info_effects
     1         0 …ler/ssair/inlining.jl  1343 info_effects
     1         0 …ler/ssair/inlining.jl  1145 inline_apply!(todo::Vector{Pair{I…
     1         0 …ler/ssair/inlining.jl  1156 inline_apply!(todo::Vector{Pair{I…
     1         0 …ler/ssair/inlining.jl   116 inline_into_block!(state::Core.Co…
     8         0 …ler/ssair/inlining.jl   397 ir_inline_item!(compact::Core.Com…
     2         0 …ler/ssair/inlining.jl   415 ir_inline_item!(compact::Core.Com…
     5         1 …ler/ssair/inlining.jl   421 ir_inline_item!(compact::Core.Com…
     1         0 …ler/ssair/inlining.jl   432 ir_inline_item!(compact::Core.Com…
     1         0 …ler/ssair/inlining.jl   433 ir_inline_item!(compact::Core.Com…
     1         0 …ler/ssair/inlining.jl   445 ir_inline_item!(compact::Core.Com…
     4         0 …ler/ssair/inlining.jl   447 ir_inline_item!(compact::Core.Com…
     7         0 …ler/ssair/inlining.jl   448 ir_inline_item!(compact::Core.Com…
     1         0 …ler/ssair/inlining.jl   453 ir_inline_item!(compact::Core.Com…
     4         0 …ler/ssair/inlining.jl   466 ir_inline_item!(compact::Core.Com…
     5         0 …ler/ssair/inlining.jl   467 ir_inline_item!(compact::Core.Com…
     1         0 …ler/ssair/inlining.jl   336 ir_inline_linetable!(linetable::V…
